date 	event
2014-01-03	ISIL proclaims itself as an Islamic state in Fallujah. After prolonged tensions, the newly formed Army of Mujahedeen, the Free Syrian Army and the Islamic Front launched offensives against ISIL in the Syrian provinces of Aleppo and Idlib. These groups, proclaiming a "second revolution", attacked ISIL in many village areas, attacking up to 80% of those in Idlib and 65% in Aleppo.
2014-01-04	Fallujah was captured by ISIL after several days of fighting which left more than 100 dead. ISIL claimed responsibility for the car-bomb attack on 2 January that killed four people and wounded dozens in the Beirut suburb of Haret Hreik, a town that acts as headquarters to Hezbollah.
2014-01-06	Syrian rebels managed to expel ISIL from the city of Ar-Raqqah, ISIL's largest stronghold and the capital of the Ar-Raqqah province.
2014-01-08	Islamists of several Syrian rebel brigades expelled most ISIL forces from the city of Aleppo. However, ISIL reinforcements from Deir ez-Zor province managed to retake several neighbourhood of the city of Ar-Raqqah. By this date ISIL had captured Al-Karmah, Hīt, Khaldiyah, Haditha and Al Qaim and several smaller towns in Anbar province, while fighting raged in Ramadi and Abu Ghraib. By mid-January ISIL fighters had retaken the entire city of Ar-Raqqah, while rebels expelled ISIL from the city of Aleppo and the villages west of it.[citation needed]
2014-01-13	Fallujah Dam was taken by pro-government tribes. In the previous week ISIL militants had used the dam to flood area around the city with the waters of the Euphrates which also caused the lowering of water levels in the southern provinces.
2014-01-16	The Iraqi Army and allied Sunni tribes recaptured Saqlawiyah from ISIL.
2014-01-22	Over 50 ISIL militants were killed by Iraqi Air Force strikes in Anbar province.
2014-01-25	ISIL announced the creation of its new Lebanese arm, pledging to fight the Shia militant group Hezbollah in Lebanon.
2014-01-29	Turkish aircraft near the border fired on an ISIL convoy inside Aleppo province in Syria, killing 11 ISIL fighters and one ISIL emir.
2014-01-30	ISIL fired on border patrol soldiers in Turkey. The Turkish Army retaliated with Panter howitzers and destroyed the ISIL convoy. Iraqi forces and their tribal allies recaptured Albu Farraj and Al-Nasaf near Ramadi.
2014-02-03	al-Qaeda's general command broke off its links with ISIL, reportedly to concentrate the Islamist effort on unseating President Bashar al-Assad.
2014-02-19	An ISIL leader, Abd Khaliq Mahedi, surrendered to the Chairman of Sons of Iraq Council, due to disagreement with other ISIL leaders on the killing of Iraqi soldiers and bombing of civilian houses.
2014-02-23	ISIL carried out a suicide attack in Aleppo, killing a commander of Ahrar ash-Sham and six other members of the group.[citation needed]
2014-02-28	The pro-government Sunni tribal Sheikh and councilman, Fleih al-Osman, and six of his men were killed by a suicide bomber in Haditha.
2014-03-04	ISIL retreated from the Turkey border town of Azaz and nearby villages, choosing instead to consolidate around Ar-Raqqah, in anticipation of an escalation of fighting with al-Nusra.
2014-03-08	Iraqi Prime Minister Nouri al-Maliki accused Saudi Arabia and Qatar of openly funding ISIL.
2014-03-15	The number of internally displaced persons in Anbar province, especially from Fallujah and Ramadi, reached 300,000. The number of people recorded killed by this date was 336, with 1,562 more wounded.
2014-03-16	Iraqi Security Forces recaptured Ramadi and parts of Fallujah.
2014-03-20	In Niğde city in Turkey, three ethnic Albanian members of ISIL opened fire while hijacking a truck, killing one police officer and one gendarmerie officer and wounding five people. Shortly after their arrest, Polis Özel Harekat teams launched a series of operations against ISIL in İstanbul. Two Azerbaijanis were arrested.
2014-04-16	ISIS is reported to have killed Abu Muhammad al Ansari, the Al-Nusra Front emir of Idlib province, Syria. The ISIS assassination team killed his wife, his 2 children, and both of his brothers, who were in his house.
2014-04-27	Iraqi helicopters reportedly destroyed an ISIL convoy inside Syria. This may be the first time that Iraqi forces have struck outside their country since the Gulf War.
2014-05-01	ISIL carried out a total of seven public killings in the city of Ar-Raqqah in northern Syria. Pictures that emerged from the city show how ISIL had been carrying out public crucifixions in areas under its control. In most of these crucifixions, the victims were shot first and their bodies were then displayed, but there were also reports of crucifixions preceding the victims being shot or decapitated.
2014-05-09	The Iraqi Army retook 16 villages and towns around Fallujah.
