date 	event
2015-01-04	ISIL troops attacked Saudi Arabia again, near the border city of Arar, Saudi Arabia, killing four Saudi border guards. Four ISIL militants were also killed in the clashes.
2015-01-05	In Kobanî, Kurdish YPG units captured the governmental and security district and the al-Refia, al-Sena’a, al-Tharura, and al-Banat schools. YPG also advanced in the Mishtanour neighbourhood south of the town. According to SOHR, the YPG now controls at least 80% of Kobanî. At least 14 ISIL militants were killed in the clashes.
2015-01-06	A female suicide bomber detonated her vest at a police station in Istanbul's central Sultanahmet district, the perperator was identified as Diana Ramazova, a Chechen-Russian citizen from Dagestan. Turkish police are currently investigating Ramazova's possible links to al-Qaeda or the Islamic State of Iraq and the Levant. Further investigation revealed that suspect had photos with insurgents from ISIS
2015-01-10	Suicide bombing in the Tripoli café in Lebanon kills 9 and wounds 30. It is initially attributed to ISIL militants, though other reports claim that only the al-Nusra Front is responsible.
2015-01-12	ISIL battles for the town of Gwer, which was re-taken by Iraqi forces in August 2014. ISIL kills 30 Kurds in the conflict, despite US-led Coalition airstrikes. ISIL kidnapped 21 Christians in Tripoli, Libya.
2015-01-13	Someone claiming to represent ISIS hacked U.S. Military's Twitter account and threatened vengeance on American soldiers for the US's intervention against ISIS, and inserted a video that warned ISIS about a U.S Military attack.[additional citation needed] ISIL affiliate group, Ansar Beit al-Maqdis, claimed to have kidnapped and killed an Egyptian police officer, Ayman al-Desouky.
2015-01-14	Christopher Lee Cornell, an alleged ISIL sympathiser, was arrested for plotting to bomb the US Capitol.
2015-01-15	2 suspected terrorists linked with ISIS were shot dead by Belgian police and another wounded in the Belgian town of Verviers, during an anti-terrorist raid.
2015-01-17	Fighting broke out in the Syrian town of Al-Hasakah between Syrian government forces and Kurdish militia, namely the People's Protection Units (YPG). The two sides, having previously coexisted and having focused on other enemies, clashed when government forces took control of buildings understood to be demilitarised, according to the SOHR.
2015-01-18	Israel arrests 7 Arabs who admitted being ISIL members. The allegation was that they were caught just before executing an attack and were practising on animals how to behead people.
2015-01-19	A Canadian special forces commander said that Canadian snipers "neutralized" ISIL militants in Iraq, after "advisers" operating at the front lines of the conflict came under fire. Also, in Kobanî, YPG fighters fully recaptured the Mistanour Hill south of Kobanî, killing 11 ISIL militants. By recapturing this hill, the YPG controlled the ISIL supply routes to Aleppo and Ar-Raqqah. By that time, ISIL control ofKobanî was reduced to 15%. Additionally, Syrian government loyalists and Kurdish fighters in Al-Hasakah reached a cease-fire, although sporadic clashes continued.
2015-01-20	ISIL threatens to kill two Japanese hostages, Kenji Goto Jogo, a journalist, and Haruna Yukawa, a military company operator, unless a ransom of 200 million USD is paid. Also, the SOHR reported that al-Baghdadi, the leader of ISIL, had been wounded in an airstrike in Al-Qa'im, an Iraqi border town held by ISIL, and as a result, withdrew to Syria.
2015-01-21	Kurdish Peshmerga fighters began a planned operation to capture Mosul, liberating multiple villages neighbouring Mosul, and disrupting essential ISIL supply routes between Mosul, Tel Afar, and Syria. Also, U.S. airstrikes were conducted to assist the Kurdish Peshmerga fighters prior to and during the liberation operation. An estimated 200 ISIL fighters were killed on the first day of the clashes. The Peshmerga also positioned themselves on three fronts near Mosul. U.S. airstrikes near the Iraqi towns of Sinjar, Kirkuk, and Ramadi destroyed ISIL heavy weaponry and killed an unknown number of fighters.
2015-01-23	Kurdish forces reported firing 20 Grad missiles into Mosul, upon receiving intelligence that ISIL militants were gathering to meet near the city's Zuhour neighbourhood. Firing from about 19 kilometres (12 mi) north of Mosul, Captain Shivan Ahmed said that the rockets hit their targets. ISIL claimed that the rockets also hit civilians.
2015-01-24	The Lebanese Army repelled another joint ISIL-al-Nusra incursion near Arsal, leading to the deaths of 5 Lebanese soldiers.
2015-01-25	(1) ISIL published a video declaring the execution of Haruna Yukawa, and have revised their demands. They no longer seek the $200 million USD ransom; instead, they demand the release of Sajida Mubarak Atrous al-Rishawi in exchange for Kenji Goto and Muath al-Kasasbeh, a Jordanian fighter pilot. Also, the village of Mamid was recaptured by YPG and FSA fighters. ISIL lost 12 militants and a vehicle in the clashes. On the same day, YPG fighters cut the ISIL supply route to Kobanî, forcing ISIL into retreat. By that time, ISIL control of Kobanî was reduced to 10%. However, ISIL dispatched an additional 140 fighters, most of them under the age of 18, to help retake the city of Kobanî.; (2) 392 Special Action Force (SAF – a unit of the Philippine National Police) commandos have been engaged to hunt Malaysian bomb-maker and Jemaah Islamiyah leader Zulkifli bin Hir, known as Marwan, and Filipino bomb maker Abdul Basit Usman. Both of them 2 most wanted terrorists protected by the Bangsamoro Islamic Freedom Fighters (BIFF)a Muslim insurgent group which pledged allegiance to ISIS in 2014. One of the SAF teams raided the hut where they believed Marwan was located and succeeded to kill him. The commandos were retreating from the assault on their targets when they came under fire from members of the BIFF. In maneuvering away from the BIFF assault, they strayed into territory controlled by the MILF (another Muslims insurgent group which signed peace agreement with Philippinas Government) several kilometers away, and a "misencounter" ensued, resulting in the death of 44 Police troopers killed in action and 16 wounded. At least 18 MILF fighters were killed and 5 BIFF fighters.[better source needed]
2015-01-26	The YPG, with some assistance from US airstrikes, forced remaining ISIL forces in the city of Kobanî to retreat, and the YPG managed to enter the eastern outlying areas, thus fully recapturing the city of Kobanî. However, ISIL resistance persists in the eastern outskirts of Kobanî, and the surrounding Kobanî region remains under ISIL occupation.
2015-01-27	Suspected ISIL militants in Libya killed eight people, after storming the Corinthia Hotel in Tripoli and detonating a car bomb. Also, YPG fighters recaptured the Helnej village southeast of Kobanî, and they also besieged ISIL forces in the southern countryside of the city. The next day, YPG and FSA fighters recaptured Kolama village, Seran mall, and Noroz hall. Later on 27 January, YPG fighters drove out the remaining ISIL forces in the southeastern corner of the City of Kobanî, thus securing 100% control of the city.
2015-01-29	An ISIL militant claimed that ISIL has smuggled 4,000 militants into the European Union under the guise of civilian refugees. ISIL claimed that the fighters were planning retaliatory attacks.
2015-01-31	ISIL claims to have beheaded Japanese hostage journalist Kenji Goto, the second ISIL execution of a Japanese person.
2015-02-03	ISIL released a video of Jordanian hostage Muath al-Kasasbeh being burned to death while locked in a cage. Protests occurred in Jordan with some Jordanians demanding revenge on ISIL. Also, ISIL launched another incursion into Arsal, Lebanon, from their base in the countryside near the Syrian border to the west of Flitah, making it the deadliest ISIL incursion into Lebanon since their incursion into Arsal in August 2014.
2015-02-04	Jordan executed two of its Al-Qaeda in Iraq prisoners, in retaliation against ISIL's burning of the Jordanian pilot. Sajida al-Rishawi, the Al-Qaeda in Iraq failed suicide bomber that ISIL wanted released in the proposed prisoner swap, was one of the executed terrorists. Jordanian TV also stated that Jordanian pilot Muath Al-Kaseasbeh was believed to have been executed by ISIL as early as 3 January 2015. Jordan's King Abdullah II vowed a "relentless war" against ISIL on its own territory, for killing Al-Kaseasbeh. Syrian Kurds fighting ISIL forces near Kobanî stated that they faced "no resistance" due to the fact that ISIL kept "withdrawing its fighters" whenever the Kurds entered another village. Later on 4 February, Jordan began launching airstrikes on ISIL positions in Iraq, in retaliation for ISIL's killing of Jordanian pilot Muath al-Kasasbeh. The airstrikes killed 55 ISIL militants in Mosul, including a senior ISIL commander known as the "Prince of Nineveh".
2015-02-05	Jordanian F-16s continued an elevated airstrike campaign against ISIL, targeting militants near the de facto ISIL capital of Ar-Raqqah, Syria.
2015-02-06	A continued round of Coalition airstrikes at Ar-Raqqah killed over 30 ISIL militants.
2015-02-07	ISIL claimed that American female hostage Kayla Mueller was killed in the Jordanian airstrike on Ar-Raqqah on 5 February. However, some experts believe that she may have been killed before the date of the video's release, in order for ISIL to try to drive a wedge between the US and Jordan by blaming her death on the Jordanian airstrikes.
2015-02-08	ISIL reportedly took over the town of Nofaliya in Libya, after a convoy of 40 heavily armed vehicles arrived from Sirte and ordered Nofaliya's residents to "repent" and pledge allegiance to Abu Bakr al-Baghdadi. The fighters appointed Ali Al-Qarqaa as the ISIL emir of the town.
2015-02-09	US airstrikes targeted ISIL strongholds in and around the town of Hawija, a mixed Kurdish-Arab city to the west of Kirkuk, which has been under ISIL control since June 2014.
2015-02-10	President Obama confirmed the death of U.S. hostage Kayla Mueller by ISIL.
2015-02-12	ISIL fighters seized most of the town of Khan al Baghdadi, with some reports indicating 90%, which is located 85 km northwest of Ramadi. It was also reported that ISIL had launched a direct attack on the Al Asad Airbase, where nearly 300 US soldiers are stationed.
2015-02-14	The Libyan parliament confirmed the deaths of 21 kidnapped Egyptian Coptic Christian workers in Libya, after the ISIL English language publication Dabiq had released photos claiming their execution.
2015-02-16	Egypt retaliated against ISIL for the beheading of 21 Egyptian Christians by bombing ISIL camps, training sites, and weapons storage depots in neighbouring Libya. 50 ISIL militants in Derna were killed by the initial airstrikes.
2015-02-17	It was revealed that ISIL had launched another major assault on Erbil, coming within 45 kilometres (28 mi) of the city.
2015-02-20	Pierre Choulet, known as "Abou-Talha al-Faransi" (the Frenchman) who left France for Syria in October 2013, blew up himself in suicide bombing during an attack on a military base in Iraq.
2015-02-21	Pope Tawadros II of the Coptic Orthodox Church canonised 21 Coptic Christians murdered by ISIL. He announced they will be commemorated on the 8th Amshir of the Coptic calendar, or 15 February of the Gregorian calendar as Holy Martyrs and Saints. Syrian Kurds launched an offensive to retake ISIL-held territories in the Al-Hasakah Governorate, specifically in the Tell Hamis area, with support from US airstrikes. At least 20 villages were captured, and 12 militants were killed in the clashes.
2015-02-23	ISIL stormed the central library of Mosul, destroying about 100,000 books, manuscripts, and newspapers. ISIL abducted 150 Assyrian Christians from villages near Tal Tamr (Tell Tamer) in northeastern Syria, after launching a large offensive in the region. It was reported that ISIL had burned around 8,000 rare books and manuscripts after destroying the Library of Mosul in Iraq.
2015-02-25	Experts believe that three missing British schoolgirls who had gone to Turkey had travelled to Syria and joined ISIL.
2015-02-26	The total number of Assyrian Christians abducted by ISIL from villages in northeastern Syria from 23–25 February rose to at least 220, according to the Syrian Observatory for Human Rights (SOHR), a monitoring group based in Britain. Media report about the mass destruction of historical artefacts in the Mosul Museum by ISIL is released, including statues of Lamassu. Jihadi John is identified as Mohammed Emwazi, a 27-year-old Kuwaiti-born British man from a middle-class family who grew up in West London, and graduated from the University of Westminster with a computer programming degree.
2015-02-27	The Kurdish Democratic Union Party and Syrian Observatory for Human Rights reported that Kurdish fighters, aided by Coalition airstrikes, had recaptured the town of Tal Hamis, as well as most of the villages in the region that had once been occupied by ISIL. At least 175 ISIL militants and 30 YPG fighters were killed in the clashes.
2015-03-01	YPG fighters, aided by US airstrikes, drove ISIL militants out of Tell Brak, reducing the ISIL occupation in the eastern Jazira Canton to the villages between Tell Brak and Tal Hamis.
2015-03-02	The Iraqi government launched a massive military operation to recapture Tikrit, with 30,000 Iraqi soldiers, backed by aircraft, besieging the city on three fronts.
